ERR10671864-Aligned.out.sorted.bam ERR10671865-Aligned.out.sorted.bam ERR10671866-Aligned.out.sorted.bam ERR10671867-Aligned.out.sorted.bam SRR7405885-Aligned.out.sorted.bam
PP4_RS00825 17 16 13 0 14
PP4_RS00830 25 35 32 0 28
PP4_RS00835 64 44 82 0 147
PP4_RS00840 300 319 313 0 258
PP4_RS00845 316 339 305 0 534
PP4_RS00850 6543 6415 6352 0 4247
PP4_RS00855 142 164 144 0 197
PP4_RS00860 49 48 48 0 33
PP4_RS00865 10 8 5 0 22
PP4_RS00870 3 1 1 0 10
PP4_RS00875 12 11 9 0 6
PP4_RS00880 58 52 42 0 63
PP4_RS00885 27 32 25 0 75
PP4_RS00890 3 5 3 0 8
PP4_RS00895 11 4 11 0 80
PP4_RS00900 0 4 0 0 2
PP4_RS00905 17 5 10 0 99
PP4_RS00910 3 12 7 0 68
PP4_RS00920 86 96 91 0 35
PP4_RS00925 1008 1062 974 0 590
PP4_RS00930 53 50 63 0 10
PP4_RS00935 111 106 115 0 137
PP4_RS00940 746 806 710 0 1365
PP4_RS00945 713 722 689 0 2672
PP4_RS00950 182 218 179 0 460
PP4_RS00955 41 36 31 0 69
PP4_RS00960 374 338 352 0 700
PP4_RS00965 168 151 147 0 203
PP4_RS00970 1 1 2 0 10
PP4_RS00975 353 390 389 0 677
PP4_RS00980 11 13 14 0 25
PP4_RS00985 1586 1569 1517 0 1544
PP4_RS00990 13 11 20 0 10
PP4_RS00995 263 229 253 0 271
PP4_RS01000 27 32 26 0 17
PP4_RS01005 27 30 39 0 38
PP4_RS01010 9 9 7 0 0
PP4_RS01015 24 17 16 0 85
PP4_RS01020 269 283 262 0 655
PP4_RS01025 157 149 130 0 276
PP4_RS01030 190 218 180 0 412
PP4_RS01035 376 372 333 0 624
PP4_RS01040 0 0 0 0 0
PP4_RS01045 0 0 0 0 0
PP4_RS01050 0 0 0 0 0
PP4_RS01055 0 0 0 0 0
PP4_RS01060 0 0 0 0 0
PP4_RS01065 0 0 0 0 0
PP4_RS01070 0 0 0 0 0
PP4_RS01075 0 0 0 0 0
PP4_RS01080 0 0 0 0 0
PP4_RS01085 0 0 0 0 0
PP4_RS01090 0 0 0 0 0
PP4_RS01095 0 0 0 0 0
PP4_RS01100 0 0 0 0 0
PP4_RS01105 1 1 0 0 2
PP4_RS01110 12 10 10 0 269
PP4_RS01115 36 28 25 0 521
PP4_RS01120 6 3 2 0 46
PP4_RS01125 14 13 20 0 70
PP4_RS01130 5 6 7 0 8
PP4_RS01135 13 10 10 0 56
PP4_RS01140 1 1 4 0 35
PP4_RS01145 3 0 1 0 3
PP4_RS01150 0 0 0 0 0
PP4_RS01155 0 0 0 0 0
PP4_RS01160 0 0 0 0 0
PP4_RS01165 0 0 0 0 0
PP4_RS01170 0 0 0 0 0
PP4_RS01175 0 0 0 0 0
PP4_RS01180 1 5 2 0 0
PP4_RS01185 4136 4064 4124 0 6325
PP4_RS01190 2713 2742 2694 0 3334
