ERR10671864-Aligned.out.sorted.bam ERR10671865-Aligned.out.sorted.bam ERR10671866-Aligned.out.sorted.bam ERR10671867-Aligned.out.sorted.bam SRR7405885-Aligned.out.sorted.bam
PP4_RS03565 0 0 0 0 0
PP4_RS03570 113 141 123 0 210
PP4_RS03575 207 190 193 0 560
PP4_RS03580 30 23 19 0 36
PP4_RS03585 22 16 20 0 20
PP4_RS03590 0 0 0 0 0
PP4_RS03595 0 0 0 0 0
PP4_RS03600 56 52 38 0 97
PP4_RS03605 94 87 95 0 456
PP4_RS03610 12 15 3 0 12
PP4_RS03615 2905 3050 2882 0 1819
PP4_RS03620 1267 1196 1205 0 328
PP4_RS03625 11 12 9 0 0
PP4_RS03630 454 433 419 0 278
PP4_RS03635 11 17 10 0 7
PP4_RS03640 44 39 60 0 48
PP4_RS03645 296 308 322 0 340
PP4_RS03650 64 44 59 0 60
PP4_RS03655 52 46 46 0 107
PP4_RS03660 91 80 80 0 71
PP4_RS03665 2116 2169 2082 0 2376
PP4_RS03670 136 130 136 0 61
PP4_RS03675 138 135 106 0 25
PP4_RS03680 41 51 45 0 34
PP4_RS03685 0 1 1 0 0
PP4_RS03690 430 429 404 0 29
PP4_RS03695 0 0 0 0 0
PP4_RS03700 0 0 0 0 0
PP4_RS03705 1374 1481 1431 0 659
PP4_RS03710 21 21 30 0 5
PP4_RS03715 45 61 59 0 47
PP4_RS03720 39 44 34 0 22
PP4_RS03725 86 74 80 0 253
PP4_RS03730 16 26 25 0 138
PP4_RS03735 1 0 0 0 0
PP4_RS03740 97 85 92 0 373
PP4_RS03745 75 105 68 0 152
PP4_RS03750 22 14 26 0 1
PP4_RS03755 7 12 6 0 6
PP4_RS03760 8 4 7 0 7
PP4_RS03765 6 3 4 0 160
PP4_RS03770 80 75 75 0 100
PP4_RS03775 0 0 0 0 0
PP4_RS03780 4 8 3 0 0
PP4_RS03785 979 999 976 0 28
PP4_RS03790 1868 1901 1918 0 78
PP4_RS03795 370 336 338 0 22
PP4_RS03800 128 129 114 0 64
PP4_RS03805 276 293 247 0 368
PP4_RS03810 59 70 41 0 175
PP4_RS03815 45 41 45 0 224
PP4_RS03820 44 44 36 0 464
PP4_RS03825 0 0 0 0 0
PP4_RS03830 0 0 0 0 0
PP4_RS03835 0 0 0 0 0
PP4_RS03840 0 0 0 0 0
PP4_RS03845 0 0 0 0 0
PP4_RS03850 0 0 0 0 0
PP4_RS03855 0 0 0 0 0
PP4_RS03860 0 0 0 0 0
PP4_RS03865 0 0 0 0 0
PP4_RS03870 0 0 0 0 0
PP4_RS03875 0 0 0 0 0
PP4_RS03880 0 0 0 0 0
PP4_RS03885 0 0 0 0 0
PP4_RS03890 0 0 0 0 0
PP4_RS03895 5969 5830 5820 0 3770
PP4_RS03900 87 87 82 0 57
PP4_RS03905 2 2 3 0 1
PP4_RS03910 8 6 8 0 0
PP4_RS03915 5 5 4 0 4
PP4_RS03920 35 36 52 0 14
PP4_RS03925 4 7 4 0 2
PP4_RS03930 3 4 2 0 1
PP4_RS03935 11 16 14 0 9
PP4_RS03940 17 20 22 0 10
PP4_RS03945 19 22 15 0 33
PP4_RS03950 4 3 6 0 2
PP4_RS03955 68 84 63 0 231
PP4_RS03960 181 173 159 0 129
PP4_RS03965 29 13 19 0 2404
PP4_RS03970 6 4 3 0 601
PP4_RS03975 0 0 1 0 10
PP4_RS03980 8 6 6 0 547
PP4_RS03985 30 28 37 0 230
PP4_RS03990 40 55 47 0 192
PP4_RS03995 10 5 3 0 118
PP4_RS04000 41 53 45 0 167
PP4_RS04005 8 11 13 0 104
PP4_RS04010 6 5 2 0 34
PP4_RS04015 9 6 7 0 25
PP4_RS04020 9 9 7 0 5
PP4_RS04025 1 1 0 0 0
PP4_RS04030 73 73 61 0 90
PP4_RS04035 18 15 15 0 35
PP4_RS04040 5 4 3 0 4
PP4_RS04045 10 13 12 0 30
PP4_RS04050 14 7 14 0 32
PP4_RS04055 11 16 11 0 27
PP4_RS04060 20 17 18 0 29
PP4_RS04065 5 8 6 0 7
PP4_RS04070 6 8 6 0 22
PP4_RS04075 4 9 12 0 9
PP4_RS04080 19 15 11 0 29
PP4_RS04085 21 21 19 0 35
PP4_RS04090 41 61 41 0 64
PP4_RS04095 6 6 8 0 6
PP4_RS04100 1604 1768 1704 0 6683
PP4_RS04105 37 43 36 0 88
PP4_RS04110 5 2 5 0 0
PP4_RS04115 48 50 52 0 65
PP4_RS04120 218 192 194 0 256
PP4_RS04125 59 75 52 0 65
PP4_RS04130 131 133 126 0 219
PP4_RS04135 21 26 33 0 65
PP4_RS04140 8 13 10 0 40
PP4_RS04145 49 27 46 0 74
PP4_RS04150 109 120 98 0 154
PP4_RS04155 31 40 41 0 32
PP4_RS04160 324 328 383 0 2639
PP4_RS04165 408 463 396 0 2533
PP4_RS04170 27 33 31 0 7
PP4_RS04175 187 162 168 0 3
PP4_RS04180 365 354 353 0 310
PP4_RS04185 43 27 36 0 74
PP4_RS04190 264 278 270 0 366
PP4_RS04195 188 191 183 0 138
PP4_RS04200 158 169 181 0 111
PP4_RS04205 242 210 235 0 335
PP4_RS04210 2888 2840 2962 0 2655
PP4_RS04215 1370 1450 1418 0 1357
PP4_RS04220 653 654 672 0 831
PP4_RS04225 1554 1469 1506 0 919
PP4_RS04230 781 791 814 0 283
PP4_RS04235 43 47 61 0 110
PP4_RS04240 47 27 37 0 61
PP4_RS04245 0 0 0 0 0
PP4_RS04250 84 92 88 0 252
PP4_RS04255 85 76 101 0 687
PP4_RS04260 37 27 37 0 35
PP4_RS04265 239 261 242 0 758
PP4_RS04270 114 85 115 0 283
PP4_RS04275 669 659 716 0 1271
PP4_RS04280 293 304 325 0 550
PP4_RS04285 4 8 2 0 0
PP4_RS04290 376 361 404 0 1400
PP4_RS04295 216 237 233 0 125
PP4_RS04300 302 290 289 0 327
PP4_RS04305 232 238 248 0 562
PP4_RS04310 333 299 316 0 833
PP4_RS04315 143 136 143 0 322
PP4_RS04320 154 156 166 0 432
PP4_RS04325 453 477 475 0 999
PP4_RS04330 468 489 512 0 449
PP4_RS04335 294 306 276 0 479
PP4_RS04340 830 878 881 0 1283
PP4_RS04345 3612 3572 3702 0 5986
PP4_RS04350 2294 2254 2381 0 3529
PP4_RS04355 19 17 18 0 67
PP4_RS04360 1572 1633 1556 0 4220
PP4_RS04365 260 261 264 0 271
PP4_RS04370 125 137 113 0 220
PP4_RS04375 98 91 101 0 113
PP4_RS04380 43 36 34 0 91
PP4_RS04385 36 38 24 0 156
PP4_RS04390 3 3 4 0 1
PP4_RS04395 472 520 517 0 198
PP4_RS04400 260 283 268 0 1072
PP4_RS04405 25 21 23 0 27
PP4_RS04410 66 55 60 0 141
PP4_RS04415 26 21 28 0 50
PP4_RS04420 114 116 100 0 194
PP4_RS04425 110 115 95 0 111
PP4_RS04430 49 42 47 0 261
PP4_RS04435 567 586 612 0 3064
PP4_RS04440 3837 3880 3875 0 15563
PP4_RS04445 1 8 11 0 214
PP4_RS04450 150 130 111 0 309
PP4_RS04455 41 54 46 0 78
PP4_RS04460 48 33 53 0 3296
PP4_RS04465 36 28 28 0 1038
PP4_RS04470 39 39 44 0 109
PP4_RS04475 0 0 0 0 0
PP4_RS04480 0 0 0 0 0
PP4_RS04485 80 103 57 0 62
PP4_RS04490 35 46 46 0 27
PP4_RS04495 50 40 60 0 143
PP4_RS04500 29 26 27 0 82
PP4_RS04505 24 20 26 0 36
PP4_RS04510 1882 1869 1938 0 777
PP4_RS04515 435 462 434 0 1253
PP4_RS04520 0 0 0 0 0
PP4_RS04525 1432 1439 1508 0 5564
PP4_RS04530 9 15 8 0 0
PP4_RS04535 23 35 22 0 14
PP4_RS04540 53 51 52 0 33
PP4_RS04545 34 50 33 0 61
PP4_RS04550 39 42 41 0 227
PP4_RS04555 19 23 8 0 135
PP4_RS04560 66 51 51 0 64
PP4_RS04565 5 2 8 0 1
PP4_RS04570 4 4 7 0 19
PP4_RS04575 18 23 24 0 9
PP4_RS04580 8 8 11 0 8
PP4_RS04585 0 0 0 0 0
PP4_RS04590 17 16 12 0 4
PP4_RS04595 24 20 36 0 19
PP4_RS04600 149 157 136 0 135
PP4_RS04605 59 41 47 0 49
PP4_RS04610 13 13 22 0 23
PP4_RS04615 5 3 2 0 2
PP4_RS04620 979 1022 975 0 1217
PP4_RS04625 3 1 2 0 0
PP4_RS04630 514 535 501 0 3346
PP4_RS04635 26 34 26 0 27
PP4_RS04640 255 239 233 0 230
PP4_RS04645 119 131 133 0 60
PP4_RS04650 1351 1362 1427 0 8500
PP4_RS04655 261 232 198 0 666
PP4_RS04660 6 4 3 0 2
PP4_RS04665 0 0 0 0 0
PP4_RS04670 70 75 61 0 68
PP4_RS04675 143 150 144 0 150
PP4_RS04680 40 51 34 0 54
PP4_RS04685 176 193 210 0 454
PP4_RS04690 159 138 137 0 91
PP4_RS04695 62 53 67 0 72
PP4_RS04700 15 16 16 0 12
PP4_RS04705 13 17 14 0 35
PP4_RS04710 80 82 72 0 181
PP4_RS04715 49 50 43 0 41
PP4_RS04720 99 96 96 0 45
PP4_RS04725 107 91 89 0 54
PP4_RS04730 69 88 62 0 147
PP4_RS04735 0 0 0 0 0
PP4_RS04740 19 15 13 0 13
PP4_RS04745 354 349 369 0 1147
PP4_RS04750 404 398 373 0 1453
PP4_RS04755 256 276 279 0 1509
PP4_RS04760 306 258 284 0 888
PP4_RS04765 14 18 21 0 17
PP4_RS04770 324 315 300 0 108
PP4_RS04775 5 5 9 0 8
PP4_RS04780 0 1 0 0 0
PP4_RS04785 3 6 3 0 5
PP4_RS04790 17 19 15 0 3
PP4_RS04795 677 662 640 0 10
PP4_RS04800 181 156 149 0 49
PP4_RS04805 13 17 15 0 28
PP4_RS04810 18 22 27 0 65
PP4_RS04815 45 54 60 0 86
PP4_RS04820 5 7 6 0 35
PP4_RS04825 0 0 0 0 0
PP4_RS04830 0 0 0 0 0
PP4_RS04835 19 12 16 0 685
PP4_RS04840 9 13 12 0 6
PP4_RS04845 13 7 11 0 29
PP4_RS04850 135 164 158 0 291
PP4_RS04855 23 9 18 0 20
PP4_RS04860 85 101 88 0 235
PP4_RS04865 11 7 5 0 26
PP4_RS04870 48 44 40 0 43
PP4_RS04875 44 30 37 0 33
PP4_RS04880 1042 1109 1035 0 5178
PP4_RS04885 13 4 11 0 22
PP4_RS04890 74 74 69 0 62
PP4_RS04895 28 35 22 0 77
PP4_RS04900 65 64 61 0 58
PP4_RS04905 9 22 16 0 4
PP4_RS04910 2 0 2 0 0
PP4_RS04915 16 20 15 0 26
PP4_RS04920 4 5 7 0 0
PP4_RS04925 11 7 5 0 10
PP4_RS04930 13 8 5 0 22
PP4_RS04935 41 43 40 0 45
PP4_RS04940 7 10 11 0 18
PP4_RS04945 36 52 38 0 55
PP4_RS04950 109 89 107 0 319
PP4_RS04955 14 14 20 0 104
PP4_RS04960 14 13 5 0 6
PP4_RS04965 116 113 104 0 141
PP4_RS04970 1157 1166 1185 0 7336
PP4_RS04975 452 417 421 0 1945
PP4_RS04980 207 204 202 0 135
PP4_RS04985 398 423 409 0 3940
PP4_RS04990 728 843 725 0 1702
PP4_RS04995 286 326 304 0 1119
PP4_RS05000 107 101 106 0 188
PP4_RS05005 169 191 177 0 401
PP4_RS05010 4 5 2 0 4
PP4_RS05015 125 136 122 0 170
PP4_RS05020 20 19 18 0 188
PP4_RS05025 12 9 6 0 810
PP4_RS05030 6 2 3 0 265
PP4_RS05035 17 17 17 0 46
PP4_RS05040 14 18 12 0 29
PP4_RS05045 24 18 16 0 54
PP4_RS05050 303 273 264 0 3302
PP4_RS05055 409 409 395 0 765
PP4_RS05060 73 61 76 0 195
PP4_RS05065 26 14 14 0 46
PP4_RS05070 25 28 26 0 23
PP4_RS05075 13 13 17 0 1
PP4_RS05080 55 48 44 0 104
PP4_RS05085 71 76 66 0 221
PP4_RS05090 365 316 299 0 359
PP4_RS05095 265 293 318 0 121
PP4_RS05100 121 107 141 0 118
PP4_RS05105 49 45 37 0 107
PP4_RS05110 2 2 4 0 6
PP4_RS05115 63 69 56 0 126
PP4_RS05120 4 7 9 0 5
PP4_RS05125 7 12 6 0 18
PP4_RS05130 87 90 69 0 118
PP4_RS05135 137 132 141 0 180
PP4_RS05140 615 620 612 0 259
PP4_RS05145 131 147 162 0 114
PP4_RS05150 453 443 438 0 433
PP4_RS05155 5969 5827 5837 0 2019
PP4_RS05160 0 0 0 0 0
PP4_RS05165 42 36 41 0 110
PP4_RS05170 35 46 58 0 28
PP4_RS05175 174 170 141 0 303
PP4_RS05180 66 72 81 0 137
PP4_RS05185 36 52 50 0 18
PP4_RS05190 40 47 37 0 73
PP4_RS05195 140 179 151 0 451
PP4_RS05200 19 35 36 0 43
PP4_RS05205 586 561 580 0 1087
PP4_RS05210 472 491 474 0 1269
PP4_RS05215 61 58 62 0 41
PP4_RS05225 6363 6385 6588 0 2933
PP4_RS05230 123 108 109 0 153
PP4_RS05235 345 349 361 0 808
PP4_RS05240 30 29 42 0 62
PP4_RS05245 1412 1483 1479 0 1114
PP4_RS05250 1 2 3 0 0
PP4_RS05255 34 32 32 0 6
PP4_RS05265 22 18 27 0 30
PP4_RS05270 0 0 0 0 0
PP4_RS05275 1 0 0 0 0
PP4_RS05280 0 0 1 0 0
PP4_RS05285 3 0 3 0 2
PP4_RS05290 795 817 834 0 577
PP4_RS05295 121 144 129 0 74
PP4_RS05300 0 0 0 0 0
PP4_RS05305 3110 3152 3031 0 4160
PP4_RS05310 207 223 246 0 254
PP4_RS05315 92 64 79 0 173
PP4_RS05320 1 3 0 0 0
PP4_RS05325 5 3 5 0 1
PP4_RS05330 86 78 64 0 85
PP4_RS05335 1 2 5 0 6
PP4_RS05340 12 7 13 0 25
PP4_RS05345 96 90 92 0 126
PP4_RS05350 73 81 80 0 90
PP4_RS05355 307 281 331 0 982
PP4_RS05360 324 298 323 0 927
PP4_RS05365 170 170 170 0 380
PP4_RS05370 101 101 88 0 40
PP4_RS05375 296 259 303 0 216
PP4_RS05380 54 74 71 0 142
PP4_RS05385 40 29 28 0 50
PP4_RS05390 38 34 33 0 56
PP4_RS05395 2166 2000 2004 0 2765
PP4_RS05400 72 53 63 0 16
PP4_RS05405 24 15 21 0 4
PP4_RS05410 0 0 0 0 0
PP4_RS05415 14 19 12 0 54
PP4_RS05420 150 137 100 0 199
PP4_RS05425 120 114 112 0 90
PP4_RS05430 72 64 67 0 86
PP4_RS05435 390 334 352 0 352
PP4_RS05440 99 91 124 0 15
PP4_RS05445 29 28 32 0 18
PP4_RS05450 1203 1255 1257 0 1955
PP4_RS05455 29 30 23 0 15
PP4_RS05460 433 488 464 0 351
PP4_RS05465 8 15 5 0 59
PP4_RS05470 0 0 0 0 0
PP4_RS05475 150 147 153 0 29
PP4_RS05480 269 270 270 0 160
PP4_RS05485 225 244 238 0 92
PP4_RS05490 145 129 142 0 56
PP4_RS05495 4796 4719 4800 0 660
PP4_RS05505 23 23 22 0 24
PP4_RS05510 12 22 18 0 38
PP4_RS05515 52 58 60 0 112
PP4_RS05520 557 580 577 0 967
PP4_RS05525 87 93 97 0 72
PP4_RS05530 14 16 12 0 9
PP4_RS05540 30 36 29 0 38
PP4_RS05545 2 2 2 0 0
PP4_RS05550 20 21 23 0 9
PP4_RS05555 0 0 0 0 0
PP4_RS05560 0 0 0 0 0
PP4_RS05565 319 298 349 0 38
PP4_RS05570 108 140 130 0 113
PP4_RS05575 3 11 3 0 0
PP4_RS05580 0 0 0 0 0
PP4_RS05585 11 17 20 0 21
PP4_RS05590 0 0 2 0 17
PP4_RS05595 4 6 7 0 16
PP4_RS05600 0 0 0 0 0
PP4_RS05605 188 213 183 0 316
PP4_RS05610 0 0 0 0 0
PP4_RS05615 8 8 6 0 5
PP4_RS05620 3 5 3 0 2
PP4_RS05625 30 26 27 0 29
PP4_RS05630 3 7 12 0 5
PP4_RS05635 0 0 0 0 0
PP4_RS05640 30 26 30 0 15
PP4_RS05645 4 5 6 0 10
PP4_RS05650 6 6 4 0 2
PP4_RS05655 0 0 0 0 0
PP4_RS05660 10 7 3 0 2
PP4_RS05665 2 6 2 0 11
PP4_RS05670 25 12 25 0 42
PP4_RS05675 3 4 2 0 26
PP4_RS05680 14 12 12 0 6
PP4_RS05685 7 6 4 0 6
PP4_RS05690 4 10 4 0 6
PP4_RS05695 6 2 0 0 2
PP4_RS05700 679 638 668 0 791
PP4_RS05705 4130 4115 4139 0 4114
PP4_RS05710 42 38 42 0 34
PP4_RS05715 14 32 23 0 34
PP4_RS05720 14 15 10 0 14
PP4_RS05725 133 116 110 0 167
PP4_RS05730 99685 100923 100763 0 52050
PP4_RS05735 11618 11718 11623 0 10502
PP4_RS05740 1462 1428 1437 0 1631
PP4_RS05745 491 528 472 0 1198
PP4_RS05750 22 16 13 0 43
PP4_RS05755 32 30 35 0 20
PP4_RS05760 20 21 24 0 18
PP4_RS05765 1 0 0 0 0
PP4_RS05780 5 10 8 0 3
PP4_RS05785 10 6 6 0 3
PP4_RS05790 21 19 17 0 2
PP4_RS05795 281 273 252 0 598
PP4_RS05800 69 77 77 0 110
PP4_RS05805 49 52 42 0 228
PP4_RS05810 39 34 27 0 428
PP4_RS05815 2 0 0 0 1
PP4_RS05820 0 0 0 0 0
PP4_RS05825 3 0 2 0 0
PP4_RS05830 49 39 47 0 22
PP4_RS05835 123 154 123 0 215
PP4_RS05840 690 776 720 0 968
PP4_RS05845 2203 2132 2229 0 186
PP4_RS05850 30 28 29 0 6
PP4_RS05855 0 0 0 0 0
PP4_RS05865 251 259 287 0 587
PP4_RS05870 14 25 15 0 5
PP4_RS05875 66 56 69 0 121
PP4_RS05880 1042 1091 1131 0 1519
PP4_RS05885 236 239 235 0 355
PP4_RS05890 16 13 14 0 22
PP4_RS05895 86 97 100 0 338
PP4_RS05900 96 94 75 0 122
PP4_RS05905 74 99 80 0 264
PP4_RS05910 142 144 160 0 293
PP4_RS05915 104 102 101 0 142
PP4_RS05920 243 198 224 0 1630
PP4_RS05925 883 948 816 0 1250
PP4_RS05930 2332 2386 2346 0 1442
PP4_RS05935 294 308 299 0 262
PP4_RS05940 42 29 25 0 47
PP4_RS05945 36 30 32 0 38
PP4_RS05950 11 5 4 0 2
PP4_RS05955 16 22 13 0 27
PP4_RS05960 4 5 10 0 11
PP4_RS05965 6 7 5 0 9
PP4_RS05970 87 76 99 0 40
PP4_RS05975 227 237 217 0 325
PP4_RS05980 184 171 162 0 107
PP4_RS05985 15 16 24 0 14
PP4_RS05990 46 40 33 0 68
PP4_RS05995 0 0 0 0 0
PP4_RS06000 94 94 87 0 112
PP4_RS06005 67 50 65 0 324
PP4_RS06010 614 593 636 0 576
PP4_RS06015 526 520 485 0 573
PP4_RS06020 248 224 210 0 337
PP4_RS06025 540 608 597 0 844
PP4_RS06030 17 17 13 0 2
PP4_RS06035 0 0 3 0 0
PP4_RS06040 3 5 2 0 4
PP4_RS06045 16 17 15 0 40
PP4_RS06050 0 0 0 0 0
PP4_RS06055 40 49 42 0 172
PP4_RS06060 82 80 76 0 51
PP4_RS06065 0 0 0 0 1
PP4_RS06070 0 0 0 0 0
PP4_RS06075 0 0 0 0 0
PP4_RS06080 412 439 419 0 1358
PP4_RS06085 43 47 56 0 53
PP4_RS06090 13 13 16 0 898
PP4_RS06095 0 0 0 0 0
PP4_RS06100 3 7 5 0 27
PP4_RS06105 4 4 4 0 6
PP4_RS06110 7 7 8 0 8
PP4_RS06115 1 6 5 0 6
PP4_RS06120 5 4 4 0 13
PP4_RS06125 75 75 75 0 421
PP4_RS06130 149 165 167 0 229
PP4_RS06135 4 7 3 0 2
PP4_RS06140 12 30 22 0 54
PP4_RS06145 109 128 125 0 281
PP4_RS06150 48 78 41 0 109
PP4_RS06155 39 34 34 0 33
PP4_RS06160 128 115 122 0 125
PP4_RS06165 1276 1257 1230 0 951
PP4_RS06170 62 62 82 0 849
PP4_RS06175 69 71 88 0 629
PP4_RS06180 11 10 9 0 14
PP4_RS06185 29 26 16 0 22
PP4_RS06190 384 353 358 0 190
PP4_RS06195 81 72 59 0 67
PP4_RS06200 15 15 17 0 1
PP4_RS06205 0 0 0 0 0
PP4_RS06210 0 0 0 0 0
PP4_RS06215 0 0 0 0 0
PP4_RS06220 0 0 0 0 0
PP4_RS06225 0 0 0 0 0
PP4_RS06230 0 0 0 0 0
PP4_RS06235 31 44 35 0 72
PP4_RS06240 162 170 173 0 965
PP4_RS06245 54 61 48 0 79
PP4_RS06250 142 131 129 0 98
PP4_RS06255 66 73 64 0 100
PP4_RS06260 171 189 188 0 299
PP4_RS06265 52 47 59 0 58
PP4_RS06270 0 0 0 0 0
PP4_RS06275 135 134 141 0 56
PP4_RS06280 112 104 116 0 1
PP4_RS06285 219 225 211 0 169
PP4_RS06290 136 122 131 0 54
PP4_RS06295 251 294 247 0 315
PP4_RS06300 8 11 13 0 11
PP4_RS06305 573 564 560 0 577
PP4_RS06310 328 352 367 0 837
PP4_RS06315 1 0 0 0 0
PP4_RS06320 0 0 0 0 0
PP4_RS06325 21 28 30 0 0
PP4_RS06330 6 5 3 0 0
PP4_RS06335 22 13 24 0 0
PP4_RS06340 0 0 0 0 0
PP4_RS06345 0 0 0 0 0
PP4_RS06360 0 0 0 0 0
PP4_RS06365 0 0 0 0 0
PP4_RS06370 14 14 11 0 24
PP4_RS06375 3 1 0 0 3
PP4_RS06380 1 0 1 0 1
PP4_RS06385 62 66 64 0 47
PP4_RS06390 3 5 6 0 1
PP4_RS06395 0 0 0 0 0
PP4_RS06400 0 0 0 0 0
PP4_RS06405 0 0 0 0 0
PP4_RS06410 299 342 321 0 406
PP4_RS06415 90 76 85 0 251
PP4_RS06420 0 0 0 0 0
PP4_RS06425 583 587 596 0 124
PP4_RS06430 73 73 88 0 113
PP4_RS06435 30 34 17 0 63
PP4_RS06440 0 0 0 0 0
PP4_RS06445 13 3 19 0 1926
PP4_RS06450 0 0 0 0 0
PP4_RS06455 23 19 13 0 640
PP4_RS06460 13 10 15 0 85
PP4_RS06465 65 56 52 0 385
PP4_RS06470 32 30 23 0 76
PP4_RS06475 179 170 210 0 363
PP4_RS06480 102 121 100 0 306
PP4_RS06485 221 248 268 0 400
PP4_RS06490 684 662 653 0 387
PP4_RS06495 37 31 33 0 66
PP4_RS06500 21 10 25 0 96
PP4_RS06510 237 246 210 0 267
PP4_RS06515 481 462 489 0 475
PP4_RS06520 24 24 18 0 76
PP4_RS06525 82 84 97 0 196
PP4_RS06530 104 87 114 0 166
PP4_RS06535 45 42 42 0 77
PP4_RS06540 73 51 53 0 150
PP4_RS06545 35 35 20 0 31
PP4_RS06550 63 59 58 0 60
PP4_RS06555 10 11 10 0 10
PP4_RS06560 7 4 5 0 5
PP4_RS06565 0 0 0 0 0
PP4_RS06570 68 52 56 0 99
PP4_RS06575 283 298 321 0 351
PP4_RS06580 6 4 4 0 0
PP4_RS06585 0 0 0 0 0
PP4_RS06590 0 0 0 0 0
PP4_RS06595 23 34 36 0 22
PP4_RS06600 6 8 12 0 2
PP4_RS06605 3 3 3 0 6
PP4_RS06610 20 23 18 0 29
PP4_RS06615 787 805 814 0 119
PP4_RS06620 938 971 912 0 93
PP4_RS06625 50 49 37 0 52
PP4_RS06630 178 195 182 0 176
PP4_RS06635 38 45 32 0 45
PP4_RS06640 1412 1401 1400 0 815
PP4_RS06645 48 58 58 0 27
PP4_RS06650 599 607 588 0 1093
PP4_RS06655 302 276 303 0 619
PP4_RS06660 90 90 77 0 138
PP4_RS06665 82 67 76 0 194
PP4_RS06670 4 12 8 0 1
PP4_RS06675 12 14 13 0 29
PP4_RS06680 20 14 21 0 19
PP4_RS06685 44 26 30 0 21
PP4_RS06690 92 95 89 0 51
PP4_RS06695 169 181 169 0 232
PP4_RS06700 74 66 65 0 138
PP4_RS06705 79 76 92 0 168
PP4_RS06710 24 15 16 0 645
PP4_RS06715 36 36 29 0 8544
PP4_RS06720 157 160 166 0 304
PP4_RS06725 56 63 58 0 247
PP4_RS06730 108 111 123 0 142
PP4_RS06735 206 214 172 0 279
PP4_RS06740 223 216 258 0 429
PP4_RS06745 88 82 75 0 116
PP4_RS06750 11 8 11 0 2
PP4_RS06755 276 288 290 0 685
PP4_RS06760 232 251 255 0 103
PP4_RS06765 8 4 7 0 8
PP4_RS06770 486 454 493 0 122
PP4_RS06775 20 9 12 0 5
PP4_RS06780 1206 1149 1253 0 37
PP4_RS06785 1630 1749 1660 0 141
PP4_RS06790 122 125 139 0 19
PP4_RS06795 2 4 2 0 5520
PP4_RS06800 5005 5183 4851 0 2698
PP4_RS06805 901 831 860 0 804
PP4_RS06810 106 91 85 0 83
PP4_RS06815 47 33 58 0 45
PP4_RS06820 104 115 108 0 164
PP4_RS06825 72 64 80 0 59
PP4_RS06830 240 224 219 0 399
PP4_RS06835 109 104 133 0 83
PP4_RS06840 155 158 151 0 176
PP4_RS06845 108 109 113 0 99
PP4_RS06850 536 490 508 0 473
PP4_RS06855 147 157 145 0 88
PP4_RS06860 257 263 260 0 292
PP4_RS06865 0 0 0 0 0
PP4_RS06870 1304 1275 1222 0 3187
PP4_RS06875 1187 1193 1172 0 2780
PP4_RS06880 114 123 110 0 112
PP4_RS06885 118 125 124 0 57
PP4_RS06890 72 59 65 0 42
PP4_RS06895 72 84 98 0 65
PP4_RS06900 37 45 47 0 1
PP4_RS06905 273 285 261 0 186
PP4_RS06910 1123 1154 1114 0 1798
PP4_RS06915 7 4 7 0 3
PP4_RS06920 4 7 9 0 1
PP4_RS06935 11 5 7 0 1
PP4_RS06940 58 80 69 0 10
PP4_RS06945 34 35 29 0 23
PP4_RS06950 1915 1973 1898 0 36
PP4_RS06955 2301 2287 2227 0 66
PP4_RS06960 3157 3199 3009 0 114
PP4_RS06965 4175 4228 4223 0 127
PP4_RS06970 14 13 14 0 5
PP4_RS06975 90 90 107 0 34
PP4_RS06980 131 120 119 0 177
PP4_RS06985 121 147 119 0 137
PP4_RS06990 234 236 240 0 312
PP4_RS06995 587 564 620 0 913
PP4_RS07000 95 79 97 0 124
PP4_RS07005 510 471 480 0 475
PP4_RS07010 200 223 195 0 242
PP4_RS07015 67 55 68 0 37
PP4_RS07020 67 52 73 0 19
PP4_RS07025 83 88 94 0 8
PP4_RS07030 142 163 144 0 13
PP4_RS07035 0 2 0 0 0
PP4_RS07040 268 258 256 0 142
PP4_RS07045 318 278 304 0 118
PP4_RS07050 148 131 143 0 66
PP4_RS07055 185 213 182 0 97
PP4_RS07060 180 192 154 0 75
PP4_RS07065 257 247 228 0 108
PP4_RS07070 2 4 1 0 0
PP4_RS07075 356 399 432 0 810
PP4_RS07080 3 3 0 0 0
PP4_RS07085 0 0 0 0 0
PP4_RS07090 0 0 0 0 0
PP4_RS07095 37 26 18 0 0
PP4_RS07100 5 0 3 0 0
PP4_RS07105 715 755 722 0 1431
PP4_RS07110 0 0 0 0 0
PP4_RS07115 0 0 0 0 0
PP4_RS07120 0 0 0 0 0
PP4_RS07125 0 0 0 0 0
PP4_RS07130 0 0 0 0 0
PP4_RS07135 0 0 0 0 0
PP4_RS07140 0 0 0 0 0
PP4_RS07145 0 0 0 0 0
PP4_RS07150 0 0 1 0 0
PP4_RS07155 0 0 1 0 0
PP4_RS07160 0 2 0 0 0
PP4_RS07165 0 0 0 0 0
PP4_RS07170 0 0 0 0 0
PP4_RS07175 52 44 48 0 41
PP4_RS07180 65 62 55 0 18
PP4_RS07185 53 57 47 0 118
PP4_RS07190 170 213 172 0 177
PP4_RS07195 353 345 321 0 182
PP4_RS07200 59 66 70 0 9
PP4_RS07205 122 131 139 0 66
PP4_RS07210 12 16 12 0 19
PP4_RS07215 534 502 468 0 284
PP4_RS07220 156 190 164 0 81
PP4_RS07225 110 78 93 0 33
